,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
746,Male,1,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),8196.4,No
747,Female,1,No,No,3,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,202.9,No
748,Male,0,Yes,No,48,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,855.1,No
749,Female,0,No,No,63,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),5817,No
750,Female,0,No,No,27,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1652.95,No
751,Male,0,Yes,Yes,70,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),5600.15,No
752,Male,0,Yes,Yes,7,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),515.75,No
753,Male,0,No,Yes,0,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,,No
754,Female,0,Yes,No,2,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,190.5,No
755,Male,1,No,No,20,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1842.8,Yes
756,Male,0,No,No,66,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1253.8,No
757,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,57.2,No
758,Female,0,No,Yes,15,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1269.55,Yes
759,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),6563.4,No
760,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,No
761,Female,0,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1907.85,Yes
762,Male,0,Yes,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,208.85,Yes
763,Female,0,Yes,Yes,72,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),4758.8,No
764,Male,0,Yes,Yes,65,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1292.6,No
765,Female,0,No,No,11,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,363.15,No
766,Male,0,No,No,22,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1600.25,No
767,Male,0,No,No,14,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),275.7,No
768,Male,0,No,No,41,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,3089.1,No
769,Male,0,Yes,No,17,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,1175.6,No
770,Male,0,No,No,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),237.3,No
771,Male,0,No,No,15,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1444.65,Yes
772,Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,Yes
773,Female,0,Yes,No,5,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,454.15,Yes
774,Male,0,Yes,No,33,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,3036.75,Yes
775,Female,0,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),8065.65,No
776,Female,0,Yes,Yes,3,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,92.5,No
777,Male,0,No,No,2,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,184.65,Yes
778,Female,0,Yes,No,59,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),6152.3,No
779,Male,0,No,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,89.5,Yes
780,Male,0,Yes,Yes,71,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),5154.5,No
781,Female,0,Yes,Yes,5,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,220.45,No
782,Male,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1510.3,No
783,Female,0,No,No,1,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,Yes
784,Male,0,No,Yes,63,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),2588.95,No
785,Female,1,No,No,46,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,4874.8,Yes
786,Male,0,Yes,Yes,72,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),3983.6,No
787,Female,0,Yes,No,34,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),2003.6,No
788,Female,0,Yes,Yes,24,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,1832.4,No
789,Male,0,No,No,72,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),4908.25,No
790,Female,0,Yes,Yes,60,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),3590.2,No
791,Male,0,No,No,68,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),5023,No
792,Female,0,Yes,Yes,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,146.6,No
793,Female,0,No,Yes,34,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),2339.3,No
794,Female,0,No,No,6,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),298.7,No
795,Male,0,Yes,No,2,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,143.65,No
796,Male,0,No,No,31,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),2548.65,No
797,Female,0,Yes,Yes,20,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),507.4,No
798,Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20,No
799,Male,0,No,No,62,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,6125.4,Yes
800,Female,1,Yes,No,70,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),5411.4,No
801,Female,0,No,No,10,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1058.25,Yes
802,Male,0,Yes,Yes,39,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,903.8,No
803,Female,0,Yes,No,46,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),3009.5,No
804,Male,0,No,No,6,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,489.45,Yes
805,Female,0,Yes,Yes,72,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),5468.45,No
806,Male,0,No,No,18,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1058.1,No
807,Male,0,Yes,No,71,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7616,No
808,Male,0,Yes,No,40,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4113.1,Yes
809,Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,Yes
810,Male,0,No,No,58,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),6017.65,Yes
811,Male,0,No,No,70,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7250.15,Yes
812,Female,0,Yes,No,42,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,1108.2,No
813,Male,0,Yes,Yes,34,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),938.65,No
814,Male,1,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.15,No
815,Female,0,No,No,25,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,2088.05,No
816,Female,0,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,178.7,Yes
817,Female,0,Yes,Yes,55,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),5656.75,No
818,Male,0,Yes,No,21,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2317.1,Yes
819,Male,0,Yes,No,70,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),5986.45,No
820,Female,0,Yes,No,61,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6751.35,No
821,Male,0,Yes,Yes,43,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3566.6,No
822,Male,0,No,No,47,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,4889.3,No
823,Male,0,No,No,5,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),318.1,No
824,Female,0,No,No,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1563.95,No
825,Female,0,Yes,Yes,16,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1430.25,Yes
826,Male,1,Yes,No,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),644.35,Yes
827,Female,0,Yes,Yes,14,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,372.45,No
828,Male,0,Yes,Yes,60,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,5453.4,Yes
829,Male,0,Yes,Yes,34,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,1442.6,No
830,Female,0,Yes,No,50,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,5610.7,Yes
831,Male,0,Yes,Yes,38,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),963.95,No
832,Female,0,Yes,Yes,70,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),5222.3,No
833,Female,0,Yes,Yes,37,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3340.55,No
834,Female,1,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,292.8,Yes
835,Male,1,Yes,Yes,60,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,5774.55,No
836,Male,0,Yes,Yes,62,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),4487.3,No
837,Male,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,Yes
838,Male,0,No,No,36,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2854.95,No
839,Male,0,No,No,44,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),905.55,No
840,Female,1,No,No,55,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,5509.3,Yes
841,Female,0,Yes,No,72,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),7589.8,No
842,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),229.6,Yes
843,Female,0,No,No,13,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),394.1,No
844,Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,Yes
845,Female,0,Yes,Yes,15,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,295.95,No
846,Female,0,No,No,65,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),5459.2,No
847,Female,0,Yes,Yes,12,No,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),444.75,No
848,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6782.15,No
849,Female,0,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),6510.45,No
850,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),8476.5,No
851,Male,0,No,Yes,52,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,4461.85,No
852,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,62,No
853,Female,0,No,No,5,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,352.65,No
854,Female,0,No,No,68,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1424.9,No
855,Female,0,No,Yes,62,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,6413.65,Yes
856,Male,0,No,No,72,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),6309.65,No
857,Male,0,No,No,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,Yes
858,Female,0,Yes,No,66,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,5898.6,No
859,Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4719.75,No
860,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),457.3,No
861,Male,0,Yes,Yes,64,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),5822.3,No
862,Male,1,Yes,No,20,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1463.5,Yes
863,Female,0,No,No,3,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,307.4,Yes
864,Male,0,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2104.55,Yes
865,Male,0,Yes,No,4,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,319.15,Yes
866,Male,0,Yes,No,62,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),2337.45,No
867,Female,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,104.3,No
868,Male,0,Yes,No,59,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,5084.65,Yes
869,Male,0,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,121.25,No
870,Female,0,Yes,No,72,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),7015.9,No
871,Male,0,Yes,Yes,57,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),5598,No
872,Male,0,No,Yes,66,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1269.1,No
873,Female,0,No,No,60,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3027.4,Yes
874,Male,0,No,Yes,45,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),4634.35,No
875,Female,0,No,No,3,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),113.95,No
876,Female,0,No,No,15,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,1582.75,Yes
877,Female,0,No,Yes,51,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),3077,No
878,Female,0,No,No,60,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,4039.5,No
879,Male,0,No,No,33,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1665.2,No
880,Male,0,No,No,10,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1043.3,Yes
881,Male,1,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),504.2,No
882,Female,0,No,No,6,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,497.55,Yes
883,Female,0,Yes,No,67,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7511.65,No
884,Female,0,Yes,Yes,49,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),1782,No
885,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,No
886,Female,1,No,No,7,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,609.65,No
887,Female,1,No,No,27,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),2857.6,No
888,Male,0,Yes,Yes,37,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),3247.55,No
889,Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,6215.35,Yes
890,Male,0,Yes,Yes,31,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,2823,No
891,Male,0,Yes,Yes,50,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5017.9,Yes
892,Male,1,No,No,32,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),2619.25,No
893,Female,0,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.6,Yes
894,Female,0,Yes,No,63,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),4965.1,No
895,Male,0,No,No,30,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2679.7,No
896,Male,0,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),8310.55,No
897,Female,0,No,No,53,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,5682.25,No
898,Female,0,No,No,12,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1120.95,Yes
899,Male,0,Yes,No,50,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),4914.9,No
900,Female,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.55,No
901,Female,0,No,No,9,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),923.5,Yes
902,Male,0,No,No,17,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1625.65,Yes
903,Female,0,Yes,No,56,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),6068.65,No
904,Male,0,Yes,Yes,67,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),5398.6,No
905,Male,1,No,No,9,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,918.6,Yes
906,Male,0,No,No,4,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,234.85,No
907,Male,0,No,No,19,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),1231.85,No
908,Female,0,No,Yes,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,170.9,No
909,Female,0,No,No,71,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,7984.15,No
910,Male,1,No,No,10,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,688.65,Yes
911,Female,1,No,No,15,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),1288.3,No
912,Male,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),7848.5,No
913,Male,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),267,No
914,Male,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1798.9,No
915,Male,1,Yes,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,Yes
916,Female,1,No,No,23,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1643.55,No
917,Male,0,No,No,72,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4807.45,No
918,Female,0,No,No,26,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,2193,No
919,Female,0,No,No,21,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,2239.4,No
920,Male,0,Yes,No,60,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),1505.9,No
921,Male,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,255.35,No
922,Male,0,Yes,No,16,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1189.4,No
923,Female,0,Yes,No,63,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),4786.15,No
924,Female,1,No,No,22,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,1820.9,No
925,Female,0,Yes,Yes,32,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),2404.15,No
926,Female,1,No,No,3,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,205.05,Yes
927,Female,0,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,952.3,Yes
928,Female,0,Yes,Yes,68,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7039.45,No
929,Female,0,Yes,Yes,30,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,2538.05,No
930,Female,0,No,No,16,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1212.85,No
931,Male,0,No,No,33,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),2651.1,No
932,Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1304.8,No
933,Female,1,No,No,4,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,360.1,Yes
934,Female,0,No,No,12,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,435.45,No
935,Female,1,Yes,No,4,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,308.05,No
936,Female,0,Yes,Yes,0,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,,No
937,Female,0,No,No,6,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,434.5,Yes
938,Female,0,Yes,No,65,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),7118.9,No
939,Female,0,No,No,15,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,320.45,No
940,Female,0,No,Yes,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),531.55,No
941,Female,0,No,Yes,13,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,382.2,No
942,Male,0,No,No,24,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2001,No
943,Female,0,Yes,No,72,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),4919.7,No
944,Female,0,Yes,Yes,54,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5645.8,No
945,Female,0,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),215.8,Yes
946,Male,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,77.6,No
947,Female,1,Yes,Yes,32,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,2896.55,No
948,Male,1,No,No,35,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3395.8,Yes
949,Male,0,Yes,Yes,35,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),759.35,No
950,Male,1,No,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,85.15,Yes
951,Female,0,No,No,8,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,535.55,No
952,Male,0,No,No,22,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,1253.15,No
